restaurant_id,name,city,state,cuisine_type,price_range,cost_for_two_inr,rating,veg_type,description
215,Bhukkad Restaurant,Yercaud,Tamil Nadu,Tandoor & Grill,₹₹₹,1856,4.5,Both,Tandoor & Grill both restaurant in Yercaud.
216,Local Junction,Yercaud,Tamil Nadu,Bengali,₹,269,4.7,Both,Bengali both restaurant in Yercaud.
217,Mishti Dhaba,Nagarjuna Sagar,Telangana,Street Food,₹₹,559,4.6,Both,Street Food both restaurant in Nagarjuna Sagar.
218,Green Leaf Tiffin Room,Nagarjuna Sagar,Telangana,Street Food,₹₹,645,3.8,Non-Veg,Street Food non-veg restaurant in Nagarjuna Sagar.
219,Blue Ginger Corner,Nagarjuna Sagar,Telangana,Continental,₹₹,650,3.9,Both,Continental both restaurant in Nagarjuna Sagar.
220,Golden House,Nagarjuna Sagar,Telangana,Bengali,₹₹,1000,3.9,Both,Bengali both restaurant in Nagarjuna Sagar.
221,Tadka House,Ramnagar,Uttarakhand,Chettinad,₹₹,751,3.4,Both,Chettinad both restaurant in Ramnagar.
222,Red Chili Junction,Ramnagar,Uttarakhand,Continental,₹₹₹,1835,4.9,Both,Continental both restaurant in Ramnagar.
223,Riverside Foods,Ramnagar,Uttarakhand,Mughlai,₹₹₹₹,3497,4.4,Both,Mughlai both restaurant in Ramnagar.
224,Royal House,Kolkata,West Bengal,Rajasthani,₹₹₹,1875,3.8,Both,Rajasthani both restaurant in Kolkata.
225,Bamboo Terrace,Kolkata,West Bengal,Punjabi,₹₹,971,4.0,Both,Punjabi both restaurant in Kolkata.
226,Green Leaf Bhavan,Sundarbans,West Bengal,Mughlai,₹,208,3.7,Both,Mughlai both restaurant in Sundarbans.
227,The Terrace Courtyard,Sundarbans,West Bengal,Goan,₹₹,722,4.5,Non-Veg,Goan non-veg restaurant in Sundarbans.
228,Bamboo Courtyard,Sundarbans,West Bengal,Rajasthani,₹₹₹,1222,4.2,Both,Rajasthani both restaurant in Sundarbans.
229,Namak Junction,Sundarbans,West Bengal,Seafood,₹₹₹,1510,3.9,Non-Veg,Seafood non-veg restaurant in Sundarbans.
230,Tadka Courtyard,Bakkhali,West Bengal,South Indian,₹,488,3.8,Both,South Indian both restaurant in Bakkhali.
231,Copper Pot Courtyard,Bakkhali,West Bengal,Mughlai,₹₹₹₹,4204,4.0,Both,Mughlai both restaurant in Bakkhali.
232,Coastal Diner,Kollam,Kerala,Seafood,₹₹₹,1643,4.1,Veg,Seafood veg restaurant in Kollam.
233,Old Town Restaurant,Kollam,Kerala,Punjabi,₹₹,905,4.0,Both,Punjabi both restaurant in Kollam.
234,Saffron Diner,Kollam,Kerala,Seafood,₹,335,4.1,Veg,Seafood veg restaurant in Kollam.
235,Red Chili Kitchen & Bar,Kollam,Kerala,Continental,₹₹₹,1592,4.0,Veg,Continental veg restaurant in Kollam.
236,Swad Kitchen & Bar,Kollam,Kerala,Italian,₹₹,553,4.1,Veg,Italian veg restaurant in Kollam.
237,Tadka Diner,Zuluk,Sikkim,Punjabi,₹₹₹₹,2400,3.6,Both,Punjabi both restaurant in Zuluk.
238,Bawarchi Restaurant,Zuluk,Sikkim,Chettinad,₹₹₹₹,3518,4.3,Both,Chettinad both restaurant in Zuluk.
239,Local Eatery,Zuluk,Sikkim,Punjabi,₹₹,778,3.5,Veg,Punjabi veg restaurant in Zuluk.
240,Coastal Foods,Zuluk,Sikkim,South Indian,₹₹₹₹,2318,3.8,Non-Veg,South Indian non-veg restaurant in Zuluk.
241,Green Leaf Terrace,Zuluk,Sikkim,Kerala,₹,310,3.4,Both,Kerala both restaurant in Zuluk.
242,Spice Route Diner,Tsomgo Lake,Sikkim,Mughlai,₹,267,4.0,Both,Mughlai both restaurant in Tsomgo Lake.
243,Saffron Foods,Tsomgo Lake,Sikkim,Chinese,₹,217,4.1,Both,Chinese both restaurant in Tsomgo Lake.
244,Royal Cafe,Tsomgo Lake,Sikkim,North Indian,₹,296,4.4,Non-Veg,North Indian non-veg restaurant in Tsomgo Lake.
245,Old Town Corner,Tsomgo Lake,Sikkim,Bengali,₹₹₹,1444,4.1,Veg,Bengali veg restaurant in Tsomgo Lake.
246,Mishti Kitchen & Bar,Tsomgo Lake,Sikkim,Goan,₹,414,4.1,Non-Veg,Goan non-veg restaurant in Tsomgo Lake.
247,Old Town Courtyard,Bidar,Karnataka,Tandoor & Grill,₹,255,3.8,Both,Tandoor & Grill both restaurant in Bidar.
248,Masala Bistro,Bidar,Karnataka,Tandoor & Grill,₹₹₹,1433,3.4,Veg,Tandoor & Grill veg restaurant in Bidar.
249,Tadka Tiffin Room,Bidar,Karnataka,Continental,₹,225,4.4,Both,Continental both restaurant in Bidar.
250,Saffron Corner,Bidar,Karnataka,Cafe,₹,319,3.9,Both,Cafe both restaurant in Bidar.
251,Urban Bistro,Sringeri,Karnataka,Kerala,₹₹₹,1634,4.2,Both,Kerala both restaurant in Sringeri.
252,Urban Foods,Sringeri,Karnataka,Chinese,₹₹₹,1231,4.5,Both,Chinese both restaurant in Sringeri.
253,Bamboo Bhavan,Sringeri,Karnataka,Chettinad,₹₹₹,1149,4.1,Both,Chettinad both restaurant in Sringeri.
254,Golden Restaurant,Sringeri,Karnataka,Goan,₹₹₹,1605,3.8,Veg,Goan veg restaurant in Sringeri.
255,Southern Spice Bhavan,Sringeri,Karnataka,Mughlai,₹₹,990,3.6,Both,Mughlai both restaurant in Sringeri.
256,Coastal Bhavan,Chitrakoot,Uttar Pradesh,Punjabi,₹₹,828,4.4,Both,Punjabi both restaurant in Chitrakoot.
257,Southern Spice Courtyard,Chitrakoot,Uttar Pradesh,Kerala,₹₹₹₹,2187,3.7,Both,Kerala both restaurant in Chitrakoot.
258,Rustic House,Leh,Ladakh,Rajasthani,₹₹,538,3.8,Non-Veg,Rajasthani non-veg restaurant in Leh.
259,The Terrace Bistro,Leh,Ladakh,Kerala,₹₹,833,3.5,Veg,Kerala veg restaurant in Leh.
260,Saffron Restaurant,Leh,Ladakh,Gujarati,₹₹,676,4.6,Both,Gujarati both restaurant in Leh.
261,Mishti Bhavan,Leh,Ladakh,Mughlai,₹₹,694,4.2,Non-Veg,Mughlai non-veg restaurant in Leh.
262,Copper Pot House,Leh,Ladakh,Multi-cuisine,₹₹,612,3.6,Both,Multi-cuisine both restaurant in Leh.
263,Saffron Kitchen,Hassan,Karnataka,Kerala,₹,400,4.0,Both,Kerala both restaurant in Hassan.
264,Local Grill,Hassan,Karnataka,Gujarati,₹,260,3.8,Both,Gujarati both restaurant in Hassan.
265,Bawarchi Restaurant,Hassan,Karnataka,Cafe,₹₹,679,3.7,Both,Cafe both restaurant in Hassan.
266,Tandoor Villa Cafe,Hassan,Karnataka,Italian,₹,445,4.5,Non-Veg,Italian non-veg restaurant in Hassan.
267,Local Junction,Hassan,Karnataka,Kerala,₹₹,906,3.8,Veg,Kerala veg restaurant in Hassan.
268,Bamboo Courtyard,Vijayawada,Andhra Pradesh,Rajasthani,₹₹,849,4.0,Both,Rajasthani both restaurant in Vijayawada.
269,Old Town Dhaba,Vijayawada,Andhra Pradesh,Seafood,₹₹₹,1464,4.7,Both,Seafood both restaurant in Vijayawada.
270,Curry Leaf Diner,Vijayawada,Andhra Pradesh,Punjabi,₹₹,554,4.1,Non-Veg,Punjabi non-veg restaurant in Vijayawada.
271,Bamboo Junction,Bhongir,Telangana,South Indian,₹₹₹₹,3571,3.7,Both,South Indian both restaurant in Bhongir.
272,Tadka Dhaba,Bhongir,Telangana,Bengali,₹₹,604,4.6,Both,Bengali both restaurant in Bhongir.
273,Garden Corner,Bhongir,Telangana,Continental,₹₹,983,4.1,Non-Veg,Continental non-veg restaurant in Bhongir.
274,Royal Junction,Bhongir,Telangana,Kerala,₹,339,4.6,Both,Kerala both restaurant in Bhongir.
275,Saffron Diner,Bhongir,Telangana,Tandoor & Grill,₹₹,714,4.1,Veg,Tandoor & Grill veg restaurant in Bhongir.
276,Namak Courtyard,Visakhapatnam,Andhra Pradesh,North Indian,₹₹,827,5.0,Both,North Indian both restaurant in Visakhapatnam.
277,Rustic Diner,Visakhapatnam,Andhra Pradesh,Chinese,₹,293,4.2,Both,Chinese both restaurant in Visakhapatnam.
278,Local Bhavan,Visakhapatnam,Andhra Pradesh,Rajasthani,₹₹₹,1817,3.7,Both,Rajasthani both restaurant in Visakhapatnam.
279,Copper Pot Corner,Visakhapatnam,Andhra Pradesh,Rajasthani,₹,275,4.0,Veg,Rajasthani veg restaurant in Visakhapatnam.
280,Local Bistro,Jhansi,Uttar Pradesh,Rajasthani,₹₹₹,1134,4.0,Both,Rajasthani both restaurant in Jhansi.
281,Riverside Kitchen & Bar,Jhansi,Uttar Pradesh,Italian,₹,486,4.3,Non-Veg,Italian non-veg restaurant in Jhansi.
282,Old Town Kitchen & Bar,Jhansi,Uttar Pradesh,Bengali,₹₹₹,1559,3.6,Veg,Bengali veg restaurant in Jhansi.
283,Red Chili Diner,Jhansi,Uttar Pradesh,Chettinad,₹₹,718,4.1,Both,Chettinad both restaurant in Jhansi.
284,Namak Kitchen,Baramulla,Jammu and Kashmir,Goan,₹₹₹₹,4311,4.5,Non-Veg,Goan non-veg restaurant in Baramulla.
285,Golden House,Baramulla,Jammu and Kashmir,Multi-cuisine,₹₹₹₹,4157,3.7,Both,Multi-cuisine both restaurant in Baramulla.
286,Urban Eatery,Baramulla,Jammu and Kashmir,Street Food,₹,228,4.2,Both,Street Food both restaurant in Baramulla.
287,Mishti Kitchen & Bar,Madurai,Tamil Nadu,Rajasthani,₹,283,4.1,Veg,Rajasthani veg restaurant in Madurai.
288,Tadka Dhaba,Madurai,Tamil Nadu,Tandoor & Grill,₹₹,675,4.4,Both,Tandoor & Grill both restaurant in Madurai.
289,Zaika Eatery,Madurai,Tamil Nadu,Chettinad,₹,438,3.9,Non-Veg,Chettinad non-veg restaurant in Madurai.
290,Tadka Tiffin Room,Madurai,Tamil Nadu,Multi-cuisine,₹₹₹,1688,4.8,Both,Multi-cuisine both restaurant in Madurai.
291,Local Terrace,Gwalior,Madhya Pradesh,Punjabi,₹₹,955,4.0,Non-Veg,Punjabi non-veg restaurant in Gwalior.
292,Old Town Eatery,Gwalior,Madhya Pradesh,Punjabi,₹₹₹₹,3781,4.1,Veg,Punjabi veg restaurant in Gwalior.
293,Saffron Diner,Gwalior,Madhya Pradesh,Tandoor & Grill,₹,370,4.2,Veg,Tandoor & Grill veg restaurant in Gwalior.
294,Southern Spice Courtyard,Gwalior,Madhya Pradesh,Gujarati,₹₹,744,3.6,Both,Gujarati both restaurant in Gwalior.
295,Garden Grill,Vadodara,Gujarat,Rajasthani,₹₹₹,1952,3.9,Veg,Rajasthani veg restaurant in Vadodara.
296,Copper Pot House,Vadodara,Gujarat,Seafood,₹₹₹,1733,4.2,Both,Seafood both restaurant in Vadodara.
297,Masala Bistro,Vadodara,Gujarat,Continental,₹,450,5.0,Non-Veg,Continental non-veg restaurant in Vadodara.
298,Green Leaf Foods,Vadodara,Gujarat,Continental,₹₹,933,3.3,Veg,Continental veg restaurant in Vadodara.
299,Riverside Junction,Adilabad,Telangana,Chettinad,₹,207,3.5,Veg,Chettinad veg restaurant in Adilabad.
300,Bhukkad Bhavan,Adilabad,Telangana,Seafood,₹₹₹₹,4172,3.6,Both,Seafood both restaurant in Adilabad.
301,Namak Bistro,Siliguri,West Bengal,Goan,₹₹₹,1787,3.7,Both,Goan both restaurant in Siliguri.
302,Local Bhavan,Siliguri,West Bengal,Goan,₹₹,671,3.7,Veg,Goan veg restaurant in Siliguri.
303,Zaika Grill,Siliguri,West Bengal,Bengali,₹₹,597,4.0,Both,Bengali both restaurant in Siliguri.
304,Heritage Tiffin Room,Siliguri,West Bengal,Gujarati,₹₹₹,1912,3.9,Non-Veg,Gujarati non-veg restaurant in Siliguri.
305,Blue Ginger Bistro,Siliguri,West Bengal,Mughlai,₹₹,662,4.2,Both,Mughlai both restaurant in Siliguri.
306,Masala Dhaba,Gangtok,Sikkim,Rajasthani,₹₹₹,1066,3.7,Both,Rajasthani both restaurant in Gangtok.
307,Green Leaf House,Gangtok,Sikkim,Seafood,₹₹₹,1464,4.5,Both,Seafood both restaurant in Gangtok.
308,Rustic Terrace,Maheshwar,Madhya Pradesh,Multi-cuisine,₹₹,579,4.1,Both,Multi-cuisine both restaurant in Maheshwar.
309,Copper Pot Foods,Maheshwar,Madhya Pradesh,Multi-cuisine,₹₹₹,1748,4.6,Both,Multi-cuisine both restaurant in Maheshwar.
310,Bhukkad Bistro,Maheshwar,Madhya Pradesh,Seafood,₹₹₹,1177,4.3,Both,Seafood both restaurant in Maheshwar.
311,Mishti Grill,Maheshwar,Madhya Pradesh,Tandoor & Grill,₹₹,751,3.4,Both,Tandoor & Grill both restaurant in Maheshwar.
312,Golden Grill,Maheshwar,Madhya Pradesh,South Indian,₹₹₹,1207,3.8,Veg,South Indian veg restaurant in Maheshwar.
313,Heritage Bhavan,Kumbakonam,Tamil Nadu,Seafood,₹,403,3.7,Veg,Seafood veg restaurant in Kumbakonam.
314,Bhukkad Eatery,Kumbakonam,Tamil Nadu,Mughlai,₹₹₹,1822,3.9,Both,Mughlai both restaurant in Kumbakonam.
315,Riverside Bhavan,Kumbakonam,Tamil Nadu,Italian,₹₹,910,3.4,Both,Italian both restaurant in Kumbakonam.
316,Tadka Dhaba,Kumbakonam,Tamil Nadu,Italian,₹,467,3.6,Both,Italian both restaurant in Kumbakonam.
317,Coastal Kitchen,Almora,Uttarakhand,North Indian,₹,340,3.4,Veg,North Indian veg restaurant in Almora.
318,Urban Junction,Almora,Uttarakhand,Continental,₹,381,3.4,Non-Veg,Continental non-veg restaurant in Almora.
319,Saffron Foods,Almora,Uttarakhand,Continental,₹₹,784,4.0,Non-Veg,Continental non-veg restaurant in Almora.
320,Local Dhaba,Ranikhet,Uttarakhand,Tandoor & Grill,₹₹,980,4.0,Both,Tandoor & Grill both restaurant in Ranikhet.
321,Bamboo Diner,Ranikhet,Uttarakhand,Multi-cuisine,₹₹₹,1368,3.6,Veg,Multi-cuisine veg restaurant in Ranikhet.
322,Bamboo Tiffin Room,Ranikhet,Uttarakhand,Goan,₹₹₹,1522,3.5,Veg,Goan veg restaurant in Ranikhet.
323,Golden Courtyard,Ranikhet,Uttarakhand,Continental,₹₹,945,4.7,Both,Continental both restaurant in Ranikhet.
324,Red Chili Diner,Palitana,Gujarat,Rajasthani,₹₹,672,3.0,Both,Rajasthani both restaurant in Palitana.
325,Zaika Cafe,Palitana,Gujarat,Mughlai,₹₹₹₹,2504,4.3,Veg,Mughlai veg restaurant in Palitana.
326,Namak Restaurant,Palitana,Gujarat,Chettinad,₹,419,3.7,Both,Chettinad both restaurant in Palitana.
